"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_8세","2015년_계_9세","2015년_계_10세","2015년_계_11세","2015년_계_12세","2015년_계_13세"
"서울특별시 구로구 구로제3동(1153054000)","26,820","1,028","217","184","148","189","150","140"
"서울특별시 구로구 구로제4동(1153055000)","24,155","848","152","149","135","131","117","164"
"서울특별시 구로구 구로제5동(1153056000)","31,247","1,170","204","218","186","191","186","185"
"서울특별시 구로구 가리봉동(1153059500)","11,309","287","54","39","37","45","58","54"
"서울특별시 구로구 고척제1동(1153072000)","25,314","1,268","224","213","180","212","222","217"
"서울특별시 구로구 고척제2동(1153073000)","29,956","1,545","290","255","228","274","237","261"
"서울특별시 구로구 개봉제1동(1153074000)","35,050","1,537","274","223","235","293","245","267"
"서울특별시 구로구 개봉제2동(1153075000)","34,378","1,583","313","261","228","275","256","250"
"서울특별시 구로구 개봉제3동(1153076000)","22,115","1,039","215","166","172","178","145","163"
"서울특별시 구로구 오류제1동(1153077000)","21,385","743","109","130","126","115","120","143"
"서울특별시 구로구 오류제2동(1153078000)","45,509","2,613","520","446","435","405","412","395"
"서울특별시 구로구 수궁동(1153079000)","25,542","1,250","229","199","198","198","197","229"
"서울특별시 금천구 (1154500000)","236,284","9,686","1,633","1,545","1,497","1,640","1,668","1,703"
"서울특별시 금천구 가산동(1154551000)","19,628","452","78","68","91","75","77","63"
"서울특별시 금천구 독산제1동(1154561000)","31,297","1,098","169","205","172","194","170","188"
"서울특별시 금천구 독산제2동(1154562000)","21,804","881","153","137","129","157","158","147"
"서울특별시 금천구 독산제3동(1154563000)","26,942","973","180","139","160","159","157","178"
"서울특별시 금천구 독산제4동(1154564000)","17,925","717","117","115","99","122","136","128"
"서울특별시 금천구 시흥제1동(1154567000)","36,089","1,546","276","241","239","269","257","264"
"서울특별시 금천구 시흥제2동(1154568000)","24,328","1,525","262","272","227","231","268","265"
"서울특별시 금천구 시흥제3동(1154569000)","12,530","491","83","86","66","84","84","88"
"서울특별시 금천구 시흥제4동(1154570000)","23,212","1,027","159","159","176","168","184","181"
"서울특별시 금천구 시흥제5동(1154571000)","22,529","976","156","123","138","181","177","201"
"서울특별시 영등포구 (1156000000)","378,504","15,765","2,869","2,610","2,449","2,635","2,618","2,584"
"서울특별시 영등포구 영등포본동(1156051500)","23,653","892","180","131","147","144","146","144"
"서울특별시 영등포구 영등포동(1156053500)","19,730","461","75","74","82","78","73","79"
